,Компания,Категория,Название товара,Цена,Скидочная Цена,Объем,Единицы Измерения
31,КЕСТО,Промышленные технологии,Kestomer VPV/S-R,1800.0,1680.0,50.0,кг
32,КЕСТО,Промышленные технологии,Sitol 4173-R,1550.0,1420.0,15.0,кг
33,КЕСТО,Промышленные технологии,Sitol 4181,1700.0,1580.0,15.0,кг
34,КЕСТО,Промышленные технологии,Sitol 4173/HV-R,1850.0,1720.0,15.0,кг
35,КЕСТО,Промышленные технологии,Sitol-4170-R,1600.0,1480.0,15.0,кг
36,КЕСТО,Промышленные технологии,Kestomer VPV-R,1750.0,1620.0,15.0,кг
37,КЕСТО,Косметика,Kesto Seal,850.0,780.0,0.5,кг
38,КЕСТО,Промышленные технологии,Kestopur 200/S,12500.0,11500.0,24.0,кг
39,КЕСТО,Герметики,Kesto Masa,1850.0,1700.0,0.31,литр
40,КЕСТО,Промышленные технологии,Kestopur 600/3,9800.0,9200.0,24.0,кг
41,КЕСТО,Промышленные технологии,Kestopur 600/15,4500.0,4200.0,5.0,литр
42,КЕСТО,Промышленные технологии,Kestopur 600/6,12500.0,11800.0,300.0,кг
43,КЕСТО,Клеи и строительные смеси,Kesto 2 Plus,3200.0,2950.0,4.0,кг
44,КЕСТО,Клеи и строительные смеси,Kesto LVT Plus,2800.0,2600.0,4.0,кг
45,КЕСТО,Клеи и строительные смеси,Kesto Plus,2900.0,2700.0,4.0,кг
46,КЕСТО,Клеи и строительные смеси,Kesto LH,1250.0,1150.0,20.0,кг
47,КЕСТО,Клеи и строительные смеси,Kesto Eco Block,680.0,620.0,25.0,кг
48,КЕСТО,Клеи и строительные смеси,Kesto PVA D3,850.0,780.0,1.0,кг
49,КЕСТО,Клеи и строительные смеси,Kesto PVA Profi,950.0,880.0,1.0,кг
50,КЕСТО,Клеи и строительные смеси,Kesto Saumalaasti,750.0,690.0,1.0,кг
51,КЕСТО,Клеи и строительные смеси,Kesto Multi Floor,1450.0,1350.0,20.0,кг
52,КЕСТО,Клеи и строительные смеси,Kesto Fiberpool,2200.0,2050.0,7.0,кг
53,КЕСТО,Клеи и строительные смеси,Kesto Opti Floor,1650.0,1550.0,25.0,кг
54,КЕСТО,Промышленные технологии,Kesto Keragum,3200.0,3000.0,5.0,м2
55,КЕСТО,Клеи и строительные смеси,Kesto Master Deco,650.0,590.0,3.0,кг
56,КЕСТО,Клеи и строительные смеси,Kesto Fiberlast,2500.0,2350.0,3.0,кг
57,КЕСТО,Клеи и строительные смеси,Kesto Fiberpool Primer,1800.0,1680.0,1.0,литр
58,КЕСТО,Клеи и строительные смеси,Kesto Fix,580.0,530.0,25.0,кг
59,КЕСТО,Клеи и строительные смеси,Kesto Pro Fix,720.0,670.0,25.0,кг
60,КЕСТО,Клеи и строительные смеси,Kesto PVA D4,1100.0,1020.0,1.0,кг
61,КЕСТО,Клеи и строительные смеси,Kesto Eco 2 K-PU,3800.0,3550.0,6.0,кг
62,КЕСТО,Клеи и строительные смеси,Kesto EcoStandard,4200.0,3950.0,18.0,кг
63,КЕСТО,Герметики,Kesto Silicone,650.0,590.0,0.31,литр
64,КЕСТО,Герметики,Kesto ACRYL PRO,550.0,500.0,0.31,литр
65,КЕСТО,Герметики,Kesto ACRYL,450.0,420.0,0.31,литр
66,КЕСТО,Промышленные технологии,Kestopur 400/4,11000.0,10200.0,15.0,кг
67,КЕСТО,Промышленные технологии,Kestopur 400/2,10500.0,9800.0,15.0,кг
68,КЕСТО,Промышленные технологии,Kestopur PL240,13500.0,12500.0,24.0,кг
69,КЕСТО,Промышленные технологии,Kestopur 200/90,14200.0,13200.0,15.0,кг
70,КЕСТО,Промышленные технологии,Kestopur 15-15,11800.0,11000.0,15.0,кг
71,КЕСТО,Промышленные технологии,Kestopur 200/50,12500.0,11600.0,15.0,кг
72,КЕСТО,Промышленные технологии,Kestopur 200/30,11500.0,10700.0,15.0,кг
73,КЕСТО,Промышленные технологии,Kestokol DS-R,1850.0,1720.0,15.0,литр
74,КЕСТО,Промышленные технологии,Kestokol DS/HV-R,2100.0,1950.0,15.0,кг
75,КЕСТО,Промышленные технологии,Kestokol DM-R,1950.0,1800.0,15.0,литр
76,КЕСТО,Промышленные технологии,Kesto Kestokol D4000 (PVA D4),1250.0,1150.0,1.0,кг
77,КЕСТО,Промышленные технологии,Kestokol D300 (PVA D3),950.0,880.0,15.0,кг
78,КЕСТО,Клеи и строительные смеси,Kesto Master Flis,890.0,820.0,5.0,кг
79,КЕСТО,Косметика,Kesto Clean,680.0,620.0,0.5,литр
80,КЕСТО,Промышленные технологии,AKVAPUR SM 1000,9800.0,9200.0,15.0,кг
81,КЕСТО,Клеи и строительные смеси,Kesto Premium Fix,850.0,780.0,25.0,кг
82,КЕСТО,Промышленные технологии,Kestokol D301,1100.0,1020.0,15.0,кг
83,КЕСТО,Промышленные технологии,Kestokol D3,1000.0,920.0,15.0,кг
84,КЕСТО,Промышленные технологии,Kestofol PHL-R,16500.0,15500.0,15.0,литр
85,КЕСТО,Промышленные технологии,KESTOMELT S200,3200.0,3000.0,25.0,кг
86,КЕСТО,Промышленные технологии,Kestokol DM/HV-R,2250.0,2100.0,15.0,кг
87,КЕСТО,Промышленные технологии,Sitol 2340/В-R,1950.0,1800.0,15.0,кг
88,КЕСТО,Герметики,Kesto ULTRA FIX,2200.0,2050.0,0.31,литр
89,КЕСТО,Клеи и строительные смеси,Kesto Master Pro,750.0,690.0,3.0,кг
90,КЕСТО,Клеи и строительные смеси,Kesto 2 K-PU,4200.0,3950.0,6.0,кг
91,КЕСТО,Клеи и строительные смеси,Kesto Eco 2K-PU Green,3800.0,3550.0,6.0,кг
92,КЕСТО,Клеи и строительные смеси,Kesto Flex Silan,2850.0,2650.0,5.0,кг
93,КЕСТО,Клеи и строительные смеси,Kesto Primer,950.0,880.0,1.0,кг
94,КЕСТО,Клеи и строительные смеси,Отвердитель Hardener M,3500.0,3250.0,1.0,литр
95,КЕСТО,Клеи и строительные смеси,Kestomer VPG-R,1550.0,1420.0,15.0,кг
96,КЕСТО,Клеи и строительные смеси,Kestomer VP-R,1450.0,1350.0,15.0,кг
97,КЕСТО,Клеи и строительные смеси,Sitol 4170/S-R,1650.0,1520.0,15.0,кг
98,КЕСТО,Клеи и строительные смеси,Sitol 4180-R,1750.0,1620.0,15.0,кг
99,КЕСТО,Клеи и строительные смеси,Kestomer VPS-R,1850.0,1720.0,15.0,кг
100,КЕСТО,Промышленные технологии,Kestofol PH/P-R,14200.0,13200.0,15.0,литр
101,КЕСТО,Промышленные технологии,Kestofol PH-R,13500.0,12500.0,15.0,литр
102,КЕСТО,Клеи и строительные смеси,Kesto Light Primer,1250.0,1150.0,5.0,кг
103,КЕСТО,Промышленные технологии,Kestokol PVA Profi-R,2050.0,1900.0,15.0,литр
104,КЕСТО,Клеи и строительные смеси,Kesto Carpet Fix,1950.0,1800.0,5.0,кг
105,КЕСТО,Промышленные технологии,Kesto Keraband,850.0,780.0,1.0,м2
106,КЕСТО,Клеи и строительные смеси,Kestofol PH/LV-R,15200.0,14200.0,15.0,кг
107,КЕСТО,Клеи и строительные смеси,Kesto Extra Plus,2450.0,2300.0,13.0,кг
108,КЕСТО,Промышленные технологии,KESTOMELT K610,2850.0,2650.0,20.0,кг
109,КЕСТО,Промышленные технологии,KESTOMELT K608,2650.0,2450.0,20.0,кг
110,КЕСТО,Промышленные технологии,Kestokol 330,1100.0,1020.0,15.0,кг
111,КЕСТО,Промышленные технологии,Kestomer VP/LV-R,1550.0,1420.0,15.0,кг
112,КЕСТО,Клеи и строительные смеси,Kesto Electric Plus,4200.0,3950.0,18.0,кг
113,КЕСТО,Промышленные технологии,Sitol 4176-R,1650.0,1520.0,15.0,кг
114,КЕСТО,Промышленные технологии,Sitol 4176/UV-R,1750.0,1620.0,15.0,кг
115,КЕСТО,Промышленные технологии,Sitol 4171-R,1550.0,1420.0,15.0,кг
116,КЕСТО,Промышленные технологии,Kestokol D300 HV,950.0,880.0,15.0,кг
117,КЕСТО,Промышленные технологии,Kestokol M05,1050.0,980.0,15.0,кг
118,КЕСТО,Промышленные технологии,Kestokol WR125,1200.0,1120.0,15.0,кг
119,КЕСТО,Промышленные технологии,Kestomer VPE/UV-R,1850.0,1720.0,15.0,кг
120,КЕСТО,Клеи и строительные смеси,Kestomer VPC-R,1650.0,1520.0,15.0,кг
121,КЕСТО,Клеи и строительные смеси,Kestomer VТ-R,1750.0,1620.0,15.0,кг
122,КЕСТО,Клеи и строительные смеси,Sitol 2062/UV-R,1950.0,1800.0,15.0,кг
123,КЕСТО,Промышленные технологии,Sitol 4175-R,1450.0,1350.0,15.0,кг
124,КЕСТО,Промышленные технологии,Sitol 4171/1-R,1550.0,1420.0,15.0,кг
125,КЕСТО,Промышленные технологии,Sitol 4176/T-R,12500.0,11800.0,1000.0,кг
126,КЕСТО,Промышленные технологии,Sitol 4310,13500.0,12500.0,1000.0,кг
127,КЕСТО,Промышленные технологии,Sitol 4401,1650.0,1520.0,15.0,кг
128,КЕСТО,Клеи и строительные смеси,Sitol 3348-R,1750.0,1620.0,15.0,кг
129,КЕСТО,Промышленные технологии,Kestokol WR6040,1300.0,1200.0,15.0,кг
130,КЕСТО,Клеи и строительные смеси,Kesto Electric Tape,2800.0,2600.0,0.5,кг
131,КЕСТО,Клеи и строительные смеси,Kesto Electric Primer,3200.0,3000.0,1.0,литр
132,КЕСТО,Клеи и строительные смеси,Kesto TR,750.0,690.0,25.0,кг
133,КЕСТО,Клеи и строительные смеси,Kesto Opti Gyps Light,850.0,780.0,30.0,кг
134,КЕСТО,Клеи и строительные смеси,Hardener C,2800.0,2600.0,1.0,литр
135,КЕСТО,Промышленные технологии,Sitol 2072-R,1550.0,1420.0,15.0,кг
136,КЕСТО,Промышленные технологии,Sitol 2063-R,1450.0,1350.0,15.0,кг
137,КЕСТО,Клеи и строительные смеси,Sitol 2186-R,9800.0,9200.0,1000.0,кг
138,КЕСТО,Клеи и строительные смеси,Sitol 2394-R,1850.0,1720.0,15.0,кг
139,КЕСТО,Клеи и строительные смеси,Sitol 2395-R,1950.0,1800.0,15.0,кг
140,КЕСТО,Клеи и строительные смеси,Sitol 2396-R,2050.0,1900.0,15.0,кг
141,КЕСТО,Клеи и строительные смеси,Sitol 2397-R,2150.0,2000.0,15.0,кг
142,КЕСТО,Клеи и строительные смеси,Kestomer VPE/А-R,1850.0,1720.0,15.0,кг
143,КЕСТО,Клеи и строительные смеси,Sitol 2062/L-R,1750.0,1620.0,15.0,кг
144,КЕСТО,Промышленные технологии,Sitol 8060-R,1650.0,1520.0,15.0,кг
145,КЕСТО,Промышленные технологии,Sitol 8082/UV-R,1850.0,1720.0,15.0,кг
146,КЕСТО,Промышленные технологии,Sitol 8085-R,1750.0,1620.0,15.0,кг
147,КЕСТО,Промышленные технологии,Sitol 8085/UV-R,1950.0,1800.0,15.0,кг
148,КЕСТО,Промышленные технологии,Sitol 8185-R,1650.0,1520.0,15.0,кг
149,КЕСТО,Промышленные технологии,Sitol 8189-R,1750.0,1620.0,15.0,кг
150,КЕСТО,Промышленные технологии,Sitol 8303-R,1850.0,1720.0,15.0,кг
151,КЕСТО,Клеи и строительные смеси,Kesto Шпатель зубчатый A2,450.0,420.0,0.3,кг
152,КЕСТО,Клеи и строительные смеси,Kesto Шпатель зубчатый B10,550.0,500.0,0.4,кг
153,КЕСТО,Клеи и строительные смеси,Sitol 2303-R,1550.0,1420.0,15.0,кг
154,КЕСТО,Клеи и строительные смеси,Sitol 2062-R,1450.0,1350.0,15.0,кг
155,КЕСТО,Клеи и строительные смеси,Sitol 4171-СR,1650.0,1520.0,15.0,кг
156,КЕСТО,Клеи и строительные смеси,Kestomer VPN/HV-R,1750.0,1620.0,15.0,кг
157,КЕСТО,Клеи и строительные смеси,Sitol 4171/TR,1550.0,1420.0,15.0,кг
158,КЕСТО,Клеи и строительные смеси,Kestomer VPN-R,1650.0,1520.0,15.0,кг
159,КЕСТО,Клеи и строительные смеси,Sitol 2060-R,1450.0,1350.0,15.0,кг
160,КЕСТО,Клеи и строительные смеси,Sitol 7010-R,1850.0,1720.0,15.0,кг
161,КЕСТО,Клеи и строительные смеси,Sitol 4170/HV-R,1750.0,1620.0,15.0,кг
162,КЕСТО,Клеи и строительные смеси,Sitol 3900-R,1550.0,1420.0,15.0,кг
163,КЕСТО,Клеи и строительные смеси,Kestomer VPE-R,1650.0,1520.0,15.0,кг
164,КЕСТО,Клеи и строительные смеси,Sitol 4815-R,1750.0,1620.0,15.0,кг
165,КЕСТО,Клеи и строительные смеси,Sitol 4172-R,1550.0,1420.0,15.0,кг
166,КЕСТО,Клеи и строительные смеси,Sitol 4180/S-R,1650.0,1520.0,15.0,кг
167,КЕСТО,Клеи и строительные смеси,Sitol 4171/M-R,1750.0,1620.0,15.0,кг
168,КЕСТО,Клеи и строительные смеси,Sitol 4171/LV-R,1550.0,1420.0,15.0,кг
169,КЕСТО,Клеи и строительные смеси,Kesto Finish,1250.0,1150.0,20.0,кг
170,КЕСТО,Клеи и строительные смеси,Kesto Eco Block Winter,750.0,690.0,25.0,кг
171,КЕСТО,Клеи и строительные смеси,Kesto TF,680.0,620.0,25.0,кг
172,КЕСТО,Клеи и строительные смеси,Kesto TT,720.0,670.0,25.0,кг
173,КРИО_СЕРВИС,Газы и газовые смеси,Ацетилен растворённый в баллонах,4500.0,4050.0,40.0,литр
174,КРИО_СЕРВИС,Газы и газовые смеси,Пропан-бутановая смесь в баллонах,1700.0,1581.0,50.0,литр
175,КРИО_СЕРВИС,Газы и газовые смеси,Кислород технический в баллонах,1000.0,950.0,40.0,литр
176,КРИО_СЕРВИС,Газы и газовые смеси,Углекислота (двуоксись углерода) в баллонах,1500.0,1455.0,40.0,литр
177,КРИО_СЕРВИС,Газы и газовые смеси,Смесь сварочная ArCO2 80/20 в баллонах,2300.0,2208.0,40.0,литр
178,КРИО_СЕРВИС,Газы и газовые смеси,Аргон в/ч в баллонах,2300.0,2185.0,40.0,литр
179,КРИО_СЕРВИС,Газы и газовые смеси,Азот в/ч в баллонах,1200.0,1128.0,40.0,литр
180,КРИО_СЕРВИС,Газы и газовые смеси,Гелий (м.Б.) в баллонах,30000.0,27900.0,40.0,литр
181,КРИО_СЕРВИС,Газы и газовые смеси,Ацетилен растворённый в баллонах Unitor,5500.0,5060.0,40.0,литр
182,КРИО_СЕРВИС,Газы и газовые смеси,Кислород технический в баллонах Unitor,2600.0,2522.0,40.0,литр
183,КРИО_СЕРВИС,Газы и газовые смеси,Азот в/ч в баллонах Unitor,3000.0,2910.0,40.0,литр
184,КРИО_СЕРВИС,Газы и газовые смеси,Пищевую смесь N2CO2 в баллонах,3000.0,2790.0,40.0,литр
185,КРИО_СЕРВИС,Газы и газовые смеси,Ацетилен марки А в баллонах,30000.0,27600.0,40.0,литр
186,КРИО_СЕРВИС,Газы и газовые смеси,Ацетилен растворённый в баллонах,3500.0,3395.0,40.0,литр
187,КРИО_СЕРВИС,Газы и газовые смеси,Аргон в баллонах,1500.0,1350.0,10.0,литр
188,КРИО_СЕРВИС,Газы и газовые смеси,Кислород технический в баллонах,500.0,465.0,40.0,литр
189,КРИО_СЕРВИС,Газы и газовые смеси,Азот в баллонах,1000.0,950.0,40.0,литр
190,КРИО_СЕРВИС,Газы и газовые смеси,Углекислота (двуокись углерода) в баллонах,1000.0,960.0,17.0,литр
191,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон ацетиленовый,5900.0,5487.0,40.0,литр
192,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон ацетиленовый малой ёмкости,9900.0,9108.0,10.0,литр
193,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон гелиевый,12000.0,10680.0,40.0,литр
194,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон гелиевый малой ёмкости,6500.0,6045.0,10.0,литр
195,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон кислородный,9800.0,7840.0,40.0,литр
196,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон кислородный малой ёмкости,4600.0,4094.0,12.0,литр
197,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон углекислотный,9800.0,8330.0,40.0,литр
198,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон углекислотный малой ёмкости,5500.0,4455.0,30.0,литр
199,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон аргоновый / сварочная смесь,9800.0,8428.0,40.0,литр
200,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон аргоновый малой ёмкости / сварочная смесь,5500.0,5225.0,10.0,литр
201,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон азотный,9800.0,8330.0,40.0,литр
202,КРИО_СЕРВИС,Сварочные материалы и оборудование,Баллон пропановый «новый»,5500.0,4730.0,50.0,литр
203,КРЫМСКАЯ-РОЗА,Косметика,Масло-концентрат для интенсивного омоложения с эфирным маслом розы,1699.0,1546.0,0.03,литр
204,КРЫМСКАЯ-РОЗА,Косметика,"Гель для умывания на основе гидролата розы для эффективного очищения, 200 мл",799.0,623.0,0.2,литр
205,КРЫМСКАЯ-РОЗА,Косметика,Восстанавливающий крем на основе гидролата розы для комплексного омоложения,1399.0,1119.0,0.05,литр
206,КРЫМСКАЯ-РОЗА,Косметика,"Гидролат розы для сохранения красоты, 200 мл",899.0,782.0,0.2,литр
207,КРЫМСКАЯ-РОЗА,Косметика,"Масло-концентрат для лица с маслом розы, 15 мл",999.0,839.0,0.015,литр
208,КРЫМСКАЯ-РОЗА,Косметика,Увлажняющий крем на основе гидролата розы для нормальной и комбинированной кожи,899.0,764.0,0.05,литр
209,КРЫМСКАЯ-РОЗА,Косметика,Ультрапитательный крем на основе гидролата розы для сухой и очень сухой кожи,1499.0,1394.0,0.1,литр
210,КРЫМСКАЯ-РОЗА,Косметика,"Маска глубокоочищающая с экстрактом грязи Сакского озера 1 шт., 25 мл",149.0,127.0,0.025,литр
211,КРЫМСКАЯ-РОЗА,Косметика,Маска глубокоочищающая с экстрактом грязи Сакского озера 10 шт. по 25 мл,1299.0,1013.0,0.25,литр
212,КРЫМСКАЯ-РОЗА,Косметика,Бальзам для губ питательный,249.0,227.0,0.0045,литр
213,КРЫМСКАЯ-РОЗА,Косметика,Крем для век омолаживающий с экстрактом лаванды,1499.0,1424.0,0.025,литр
214,КРЫМСКАЯ-РОЗА,Косметика,Крем для век увлажняющий с экстрактом лаванды,1499.0,1349.0,0.025,литр
215,КРЫМСКАЯ-РОЗА,Косметика,Бальзам для губ увлажняющий,249.0,229.0,0.0045,литр
216,КРЫМСКАЯ-РОЗА,Косметика,Тканевая маска-бустер увлажняющая с лавандой и розой,205.0,180.0,0.02,литр
217,КРЫМСКАЯ-РОЗА,Косметика,Тканевая детокс-маска  на основе гидролата розы,205.0,154.0,0.02,литр
218,КРЫМСКАЯ-РОЗА,Косметика,Тканевая маска-филлер омолаживающая с лавандой и розой,205.0,154.0,0.02,литр
219,КРЫМСКАЯ-РОЗА,Косметика,Тканевая лифтинг-маска на основе гидролата розы,205.0,160.0,0.02,литр
220,КРЫМСКАЯ-РОЗА,Косметика,Тканевая маска-бустер питательная  на основе гидролата розы,205.0,191.0,0.02,литр
221,КРЫМСКАЯ-РОЗА,Косметика,Тканевая маска-бустер обновляющая с лавандой и розой,205.0,172.0,0.02,литр
222,КРЫМСКАЯ-РОЗА,Косметика,Матирующий крем на основе гидролата розы от несовершенств кожи,1200.0,960.0,0.05,литр
223,КРЫМСКАЯ-РОЗА,Косметика,Лифтинг-сыворотка на основе гидролата розы для комплексного омоложения,1399.0,1329.0,0.03,литр
224,КРЫМСКАЯ-РОЗА,Косметика,Лифтинг-маска на основе гидролата розы для комплексного омоложения,899.0,701.0,0.1,литр
225,КРЫМСКАЯ-РОЗА,Косметика,Антиоксидантный крем на основе гидролата розы для борьбы с последствиями стресса,1399.0,1259.0,0.05,литр
226,КРЫМСКАЯ-РОЗА,Косметика,Питательный крем на основе гидролата розы для нормальной и склонной к сухости кожи,899.0,836.0,0.05,литр
227,КРЫМСКАЯ-РОЗА,Косметика,Регенерирующий крем на основе гидролата розы для реактивной кожи,1399.0,1329.0,0.05,литр
228,КРЫМСКАЯ-РОЗА,Косметика,"Обновляющий тоник на основе гидролата розы для сияния кожи, 200 мл",899.0,836.0,0.2,литр
229,КРЫМСКАЯ-РОЗА,Косметика,Успокаивающая сыворотка на основе гидролата розы для восстановления повреждений кожи,1399.0,1259.0,0.03,литр
230,КРЫМСКАЯ-РОЗА,Косметика,Отбеливающий крем на основе гидролата розы для ровного цвета лица,1399.0,1287.0,0.05,литр
231,КРЫМСКАЯ-РОЗА,Косметика,"Увлажняющий тонер на основе гидролата розы для восстановления pH кожи, 100 мл",649.0,610.0,0.1,литр
232,КРЫМСКАЯ-РОЗА,Косметика,Кремовый эксфолиант на основе гидролата розы для гладкости кожи,899.0,710.0,0.075,литр
233,КРЫМСКАЯ-РОЗА,Косметика,"Мицеллярная вода на основе гидролата розы для быстрого очищения без воды, 200 мл",799.0,663.0,0.2,литр
234,КРЫМСКАЯ-РОЗА,Косметика,"Увлажняющий тонер на основе гидролата розы для восстановления pH кожи, 200 мл",899.0,791.0,0.2,литр
235,КРЫМСКАЯ-РОЗА,Косметика,Крем для век против темных кругов на основе гидролата розы,1499.0,1304.0,0.025,литр
236,КРЫМСКАЯ-РОЗА,Косметика,"Увлажняющая маска на основе гидролата розы для интенсивного восстановления, 50 мл",569.0,484.0,0.05,литр
237,КРЫМСКАЯ-РОЗА,Косметика,Увлажняющая маска на основе гидролата розы для интенсивного восстановления,899.0,809.0,0.1,литр
238,КРЫМСКАЯ-РОЗА,Косметика,Гиалуроновый концентрат на основе гидролата розы для глубокого увлажнения,1449.0,1087.0,0.03,литр
239,КРЫМСКАЯ-РОЗА,Косметика,"Лифтинг-маска на основе гидролата розы для комплексного омоложения, 50 мл",569.0,512.0,0.05,литр
240,КРЫМСКАЯ-РОЗА,Косметика,Крем для век интенсивный на основе гидролата розы для комплексного омоложения,1499.0,1379.0,0.025,литр
241,КРЫМСКАЯ-РОЗА,Косметика,Детокс-сыворотка на основе гидролата розы для борьбы с последствиями стресса,1399.0,1105.0,0.03,литр
242,КРЫМСКАЯ-РОЗА,Косметика,Пенка для умывания на основе гидролата розы для деликатного очищения,799.0,703.0,0.15,литр
243,КРЫМСКАЯ-РОЗА,Косметика,"Обновляющий тоник на основе гидролата розы для сияния кожи, 100 мл",649.0,506.0,0.1,литр
244,КРЫМСКАЯ-РОЗА,Косметика,Средство для интенсивного восстановления на основе гидролата розы для борьбы с последствиями стресса,899.0,728.0,0.05,литр
245,КРЫМСКАЯ-РОЗА,Косметика,Отбеливающий тоник на основе гидролата розы для ровного цвета лица,899.0,836.0,0.2,литр
246,КРЫМСКАЯ-РОЗА,Косметика,AHA-пилинг на основе гидролата розы для сияния кожи,1499.0,1124.0,0.03,литр
247,КРЫМСКАЯ-РОЗА,Косметика,Матирующий мист на основе гидролата розы от несовершенств кожи,799.0,711.0,0.2,литр
248,КРЫМСКАЯ-РОЗА,Косметика,Жидкие патчи под глаза на основе гидролата розы против отеков,1449.0,1362.0,0.03,литр
249,КРЫМСКАЯ-РОЗА,Косметика,"Молочко для снятия макияжа на основе гидролата розы для мягкого очищения без воды, 200мл",799.0,695.0,0.2,литр
250,КРЫМСКАЯ-РОЗА,Косметика,"Мицеллярная вода на основе гидролата розы для быстрого очищения без воды, 100 мл",579.0,521.0,0.1,литр
251,КРЫМСКАЯ-РОЗА,Косметика,Гоммаж на основе гидролата розы для обновления кожи,899.0,683.0,0.075,литр
252,КРЫМСКАЯ-РОЗА,Косметика,"Гидролат розы для сохранения красоты, 100 мл",689.0,579.0,0.1,литр
